Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-01-02,7.255487920475123,7.5139023055433505,7.185914579838104,7.4145121574401855,4545900,0.0,0
2020-01-03,7.404572782894788,7.553658239542453,7.265426577857449,7.275365829467773,2218000,0.0,0
2020-01-06,7.205792724375661,7.255488036184582,7.066646514812148,7.076585292816162,2903400,0.0,0
2020-01-07,7.066646456767379,7.1560973537872306,6.957317056043546,7.086524486541748,3205300,0.0,0
2020-01-08,7.06664664279246,7.10640270338775,6.569695411421702,6.579634189605713,6557000,0.0,0
2020-01-09,6.619390254113224,6.639268284422617,6.311280547352809,6.420609951019287,6794300,0.0,0
2020-01-10,6.400731859692677,6.6293294430363305,6.370914577548017,6.430548667907715,5203600,0.0,0
2020-01-13,6.46036589111089,6.599512100680679,6.380853771356726,6.519999980926514,2836800,0.0,0
2020-01-14,6.5100613736970585,6.917561235091689,6.410670747467474,6.808231830596924,2713100,0.0,0
2020-01-15,6.808231710573847,7.295244159152475,6.758536872264759,7.066646575927734,4660300,0.0,0
2020-01-16,7.146158810209741,7.394634427502445,7.146158810209741,7.285305023193359,3350400,0.0,0
2020-01-17,7.3151221280122245,7.335000157955344,7.086524546701542,7.235610008239746,2016900,0.0,0
2020-01-21,7.215732096499979,7.275366187306223,7.106402693057051,7.136219501495361,1831400,0.0,0
2020-01-22,7.166036602226602,7.175975380144247,6.887743711588359,6.927499771118164,2716900,0.0,0
2020-01-23,6.887743773308167,6.957317115073565,6.639268162055539,6.7585368156433105,2029300,0.0,0
2020-01-24,6.718780633638289,6.758536692801743,6.559755923054863,6.698902130126953,2282800,0.0,0
2020-01-27,6.470304900182866,6.500121707006699,6.211890046751783,6.321219444274902,3163600,0.0,0
2020-01-28,6.311280485469421,6.758536873939778,6.251646395125965,6.748597621917725,2094700,0.0,0
2020-01-29,6.818171085372342,6.847987894108798,6.649207589433652,6.728719711303711,1438200,0.0,0
2020-01-30,6.5796338412445845,6.83804869536173,6.420609607283019,6.798292636871338,1640600,0.0,0
2020-01-31,6.7684758413868975,6.828109933398676,6.460366129027893,6.480244159698486,1883300,0.0,0
2020-02-03,6.460366070484666,6.549817444656551,6.370914696312782,6.410670757293701,1405700,0.0,0
2020-02-04,6.420609774240633,6.649207353469496,6.351036433108505,6.6094512939453125,2004400,0.0,0
2020-02-05,6.6790244496740865,7.056707505398923,6.649207640707703,6.957317352294922,2167200,0.0,0
2020-02-06,6.987134209519152,7.086524356568084,6.688963294442753,6.708841323852539,2713400,0.0,0
2020-02-07,6.659146253011936,6.708841565289633,6.5001220120106975,6.510061264038086,2063000,0.0,0
2020-02-10,6.510061260543898,6.788353682146695,6.4305486661563345,6.748597621917725,1360300,0.0,0
2020-02-11,6.7585369316266535,6.937439204184027,6.609451467530696,6.897683143615723,1568500,0.0,0
2020-02-12,6.8877438933710415,7.036829357507306,6.778414963743456,6.81817102432251,1922100,0.0,0
2020-02-13,6.708841732570104,7.0368294747781235,6.6790244496740865,6.957317352294922,1553400,0.0,0
2020-02-14,6.967256482935008,7.146158755398914,6.838049049190708,7.056707382202148,1706000,0.0,0
2020-02-18,7.046768485335118,7.20579272484667,6.987134395518286,6.997073173522949,2142800,0.0,0
2020-02-19,7.056707089558477,7.394634064128218,7.016951030659637,7.2654266357421875,2308500,0.0,0
2020-02-20,7.275366068156124,7.732561230779384,7.166036666503706,7.712683200836182,3649100,0.0,0
2020-02-21,7.653048512887779,7.702743823904167,7.285304727941268,7.4145121574401855,3034300,0.0,0
2020-02-24,7.096463264265887,7.096463264265887,6.798292817658689,7.007012367248535,3210900,0.0,0
2020-02-25,6.9573171788188795,7.235610074500668,6.440487921635233,6.510061264038086,4181000,0.0,0
2020-02-26,6.52993916601282,6.579634003385633,5.834207177426938,5.89384126663208,7176800,0.0,0
2020-02-27,5.675182942934673,6.162194908698887,5.088780354506272,6.052865982055664,6294000,0.0,0
2020-02-28,6.470305020872526,6.609451227814952,5.943536526553214,6.221829414367676,7555900,0.0,0
2020-03-02,6.2715241862392235,6.281463437882502,5.595670714173163,6.072743892669678,4585400,0.0,0
2020-03-03,6.062805006107811,6.09262228890354,5.60560982943752,5.77457332611084,3843000,0.0,0
2020-03-04,5.824268580542137,5.864024641247847,5.396890217061307,5.784512519836426,4483700,0.0,0
2020-03-05,5.565853325473923,5.5757925769248775,4.7210363832561155,4.889999866485596,5853100,0.0,0
2020-03-06,4.619999885559082,4.730000019073486,4.369999885559082,4.53000020980835,4599900,0.03,0
2020-03-09,3.950000047683716,4.070000171661377,3.680000066757202,3.8499999046325684,3404000,0.0,0
2020-03-10,4.170000076293945,4.289999961853027,3.759999990463257,4.199999809265137,3687000,0.0,0
2020-03-11,3.9800000190734863,4.070000171661377,3.559999942779541,3.640000104904175,4059400,0.0,0
2020-03-12,2.680000066757202,3.1500000953674316,2.6500000953674316,2.9100000858306885,8058000,0.0,0
2020-03-13,3.140000104904175,3.2699999809265137,2.799999952316284,3.2200000286102295,6158300,0.0,0
2020-03-16,2.640000104904175,2.9000000953674316,2.5999999046325684,2.5999999046325684,8497900,0.0,0
