date,news_headline
2020/03/04,Zoom Video Posts Fourth-Quarter Net Profit on 78% Revenue Growth
2020/03/04,Zoom Video Buffered by Reality Check 
2020/03/05,"Stocks to Watch: Guidewire Software, Zoom Video, United Airlines"
2020/03/12,Slack Isn’t Zooming Yet       
2020/03/21,"Zoom, CNBC and Jigsaw Puzzles: How America’s Shut-In Families Are Spending Their Days"
2020/03/27,Who’s Zooming Whom?
