date,sentiment_score,sentiment_label
2021-11-12,0.10293333333333334,Positive
2021-11-13,0.2023,Positive
2021-11-14,0.4939,Positive
2021-11-15,0.02591666666666666,Neutral
2021-11-16,-0.06292,Negative
2021-11-17,0.0,Neutral
2021-11-18,0.30042,Positive
2021-11-19,-0.07708,Negative
2021-11-21,0.0,Neutral
2021-11-22,0.1551138888888889,Positive
2021-11-23,0.01310952380952381,Neutral
2021-11-24,0.18213846153846153,Positive
2021-11-25,-0.16385,Negative
2021-11-26,-0.04088181818181818,Neutral
2021-11-27,0.0,Neutral
2021-11-28,0.6597,Positive
2021-11-29,0.06190909090909091,Positive
2021-11-30,0.050825,Positive
2021-12-01,-0.12389999999999998,Negative
2021-12-02,0.16831249999999998,Positive
2021-12-03,0.18116,Positive
2021-12-04,0.0,Neutral
2021-12-05,0.2671,Positive
2021-12-06,-0.00897,Neutral
2021-12-07,0.25523333333333337,Positive
2021-12-08,0.2693,Positive
2021-12-09,0.14894999999999997,Positive
2021-12-10,0.0,Neutral
2021-12-11,0.20165,Positive
2021-12-13,0.07568,Positive
2021-12-14,0.27598,Positive
2021-12-15,-0.002999999999999999,Neutral
2021-12-16,0.1438076923076923,Positive
2021-12-17,0.2670625,Positive
2021-12-18,0.38849999999999996,Positive
2021-12-19,0.3404,Positive
2021-12-20,0.09081111111111112,Positive
2021-12-21,-0.14985,Negative
2021-12-22,0.26555,Positive
2021-12-23,0.1101,Positive
2021-12-24,0.05385000000000001,Positive
2021-12-26,0.2023,Positive
2021-12-27,0.14652857142857142,Positive
2021-12-28,0.12488333333333333,Positive
2021-12-29,-0.30696666666666667,Negative
2021-12-30,0.5086857142857143,Positive
