Date,sentiment,PriceDiff,PriceDiff_1,PriceDiff_2,PriceDiff_3,PriceDiff_4,PriceDiff_5,PriceDiff_6,PriceDiff_7,PriceDiff predicted GBM,PriceDiff predicted MLP
2016-01-14,0.2,-0.5461635589599609,0.4867515563964844,-0.5873012542724609,0.3267860412597656,0.358774185180664,0.1165485382080078,-0.9712142944335938,-0.4593315124511719,-0.01952766404748566,0.01949881936102682
2016-01-15,0.75,-0.1074047088623046,-0.5461635589599609,0.4867515563964844,-0.5873012542724609,0.3267860412597656,0.358774185180664,0.1165485382080078,-0.9712142944335938,-0.08151305340644034,0.05211898944462545
2016-01-19,0.5,0.0297069549560546,-0.1074047088623046,-0.5461635589599609,0.4867515563964844,-0.5873012542724609,0.3267860412597656,0.358774185180664,0.1165485382080078,0.03883428874658382,0.03712993734296133
2016-01-20,0.8,-0.1119766235351562,0.0297069549560546,-0.1074047088623046,-0.5461635589599609,0.4867515563964844,-0.5873012542724609,0.3267860412597656,0.358774185180664,-0.08747501388264595,0.05511679986495821
2016-01-21,0.2,1.170026779174805,-0.1119766235351562,0.0297069549560546,-0.1074047088623046,-0.5461635589599609,0.4867515563964844,-0.5873012542724609,0.3267860412597656,-0.01952766404748566,0.01949881936102682
2016-01-22,0.0,-0.4524669647216797,1.170026779174805,-0.1119766235351562,0.0297069549560546,-0.1074047088623046,-0.5461635589599609,0.4867515563964844,-0.5873012542724609,0.05880369651402893,0.00782232337425326
2016-01-25,0.6,0.1256847381591797,-0.4524669647216797,1.170026779174805,-0.1119766235351562,0.0297069549560546,-0.1074047088623046,-0.5461635589599609,0.4867515563964844,0.042872394998198546,0.043125558183626955
2016-01-26,-0.1111111111111111,-1.5013809204101562,0.1256847381591797,-0.4524669647216797,1.170026779174805,-0.1119766235351562,0.0297069549560546,-0.1074047088623046,-0.5461635589599609,-1.4646927387283184,0.0013353811593790343
2016-01-27,0.0,0.1530990600585937,-1.5013809204101562,0.1256847381591797,-0.4524669647216797,1.170026779174805,-0.1119766235351562,0.0297069549560546,-0.1074047088623046,0.05880369651402893,0.00782232337425326
2016-01-28,-0.2,0.7426986694335938,0.1530990600585937,-1.5013809204101562,0.1256847381591797,-0.4524669647216797,1.170026779174805,-0.1119766235351562,0.0297069549560546,0.7087605431257502,-0.0038541726125203013
2016-01-29,0.2,-0.207956314086914,0.7426986694335938,0.1530990600585937,-1.5013809204101562,0.1256847381591797,-0.4524669647216797,1.170026779174805,-0.1119766235351562,-0.01952766404748566,0.01949881936102682
2016-02-01,0.8,-0.4456081390380859,-0.207956314086914,0.7426986694335938,0.1530990600585937,-1.5013809204101562,0.1256847381591797,-0.4524669647216797,1.170026779174805,-0.08747501388264595,0.05511679986495821
2016-02-02,0.1111111111111111,0.4273281097412109,-0.4456081390380859,-0.207956314086914,0.7426986694335938,0.1530990600585937,-1.5013809204101562,0.1256847381591797,-0.4524669647216797,0.4037622040266828,0.014309265589127373
2016-02-03,0.8,0.1769161224365234,0.4273281097412109,-0.4456081390380859,-0.207956314086914,0.7426986694335938,0.1530990600585937,-1.5013809204101562,0.1256847381591797,-0.08747501388264595,0.05511679986495821
