Date,PriceDiff
2016-10-28,-18.76953125
2016-10-31,-105.3203125
2016-11-01,-77.458984375
2016-11-02,-28.970703125
2016-11-03,-42.390625
2016-11-04,371.3203125
2016-11-07,73.140625
2016-11-08,256.94921875
2016-11-09,218.19140625
2016-11-10,39.779296875
2016-11-11,21.029296875
2016-11-14,54.37109375
2016-11-15,-54.919921875
2016-11-16,35.6796875
2016-11-17,-35.890625
2016-11-18,88.759765625
2016-11-21,67.1796875
2016-11-22,59.310546875
2016-11-23,68.9609375
2016-11-25,-54.240234375
2016-11-28,23.69921875
2016-11-29,1.98046875
2016-11-30,68.349609375
2016-12-01,-21.509765625
2016-12-02,45.8203125
2016-12-05,35.5390625
2016-12-06,297.83984375
2016-12-07,65.19140625
2016-12-08,142.0390625
2016-12-09,39.580078125
2016-12-12,114.78125
2016-12-13,-118.681640625
2016-12-14,59.7109375
2016-12-15,-8.830078125
2016-12-16,39.650390625
2016-12-19,91.55859375
2016-12-20,-32.658203125
2016-12-21,-23.080078125
2016-12-22,14.9296875
2016-12-23,11.228515625
2016-12-27,-111.359375
2016-12-28,-13.900390625
2016-12-29,-57.1796875
2016-12-30,119.16015625
2017-01-03,60.400390625
2017-01-04,-42.87109375
2017-01-05,64.51171875
2017-01-06,-76.419921875
2017-01-09,-31.8515625
2017-01-10,98.75
2017-01-11,-63.279296875
2017-01-12,-5.26953125
2017-01-13,-58.9609375
2017-01-17,-22.048828125
2017-01-18,-72.3203125
2017-01-19,94.849609375
2017-01-20,-27.400390625
2017-01-23,112.861328125
2017-01-24,155.798828125
2017-01-25,32.400390625
2017-01-26,-7.130859375
2017-01-27,-122.6484375
2017-01-30,-107.041015625
2017-01-31,26.849609375
2017-02-01,-6.029296875
2017-02-02,186.55078125
2017-02-03,-19.041015625
2017-02-06,37.869140625
2017-02-07,-35.94921875
2017-02-08,118.060546875
2017-02-09,96.96875
2017-02-10,142.791015625
2017-02-13,92.25
2017-02-14,107.44921875
2017-02-15,7.91015625
2017-02-16,4.28125
2017-02-17,118.94921875
2017-02-21,32.599609375
2017-02-22,34.720703125
2017-02-23,11.439453125
2017-02-24,15.6796875
2017-02-27,-25.19921875
2017-02-28,303.310546875
2017-03-01,-112.580078125
2017-03-02,2.740234375
2017-03-03,-51.37109375
2017-03-06,-29.580078125
2017-03-07,-69.029296875
2017-03-08,2.458984375
2017-03-09,44.791015625
2017-03-10,-21.5
2017-03-13,-44.111328125
2017-03-14,112.73046875
2017-03-15,-15.548828125
2017-03-16,-19.931640625
2017-03-17,-8.759765625
2017-03-20,-237.849609375
2017-03-21,-6.708984375
2017-03-22,-4.720703125
2017-03-23,-59.859375
2017-03-24,-45.740234375
2017-03-27,150.51953125
2017-03-28,-42.1796875
2017-03-29,69.169921875
2017-03-30,-65.26953125
2017-03-31,-13.009765625
2017-04-03,39.029296875
2017-04-04,-41.08984375
2017-04-05,14.798828125
2017-04-06,-6.849609375
2017-04-07,1.919921875
2017-04-10,-6.71875
2017-04-11,-59.44140625
2017-04-12,-138.609375
2017-04-13,183.669921875
2017-04-17,-113.640625
2017-04-18,-118.7890625
2017-04-19,174.220703125
2017-04-20,-30.951171875
2017-04-21,216.130859375
2017-04-24,232.228515625
2017-04-25,-21.029296875
2017-04-26,6.240234375
2017-04-27,-40.8203125
2017-04-28,-27.048828125
2017-05-01,36.4296875
2017-05-02,8.009765625
2017-05-03,-6.4296875
2017-05-04,55.46875
2017-05-05,5.33984375
2017-05-08,-36.5
2017-05-09,-32.669921875
2017-05-10,-23.689453125
2017-05-11,-22.810546875
2017-05-12,85.330078125
2017-05-15,-2.189453125
2017-05-16,-372.8203125
2017-05-17,56.08984375
2017-05-18,141.8203125
2017-05-19,89.990234375
2017-05-22,43.080078125
2017-05-23,74.509765625
2017-05-24,70.529296875
2017-05-25,-2.669921875
2017-05-26,-50.80859375
2017-05-30,-20.8203125
2017-05-31,135.529296875
2017-06-01,62.109375
2017-06-02,-22.25
2017-06-05,-47.80859375
2017-06-06,37.458984375
2017-06-07,8.83984375
2017-06-08,89.44140625
2017-06-09,-36.30078125
2017-06-12,92.80078125
2017-06-13,46.08984375
2017-06-14,-14.66015625
2017-06-15,24.37890625
2017-06-16,144.7109375
2017-06-19,-61.849609375
2017-06-20,-57.111328125
2017-06-21,-12.740234375
2017-06-22,-2.529296875
2017-06-23,14.791015625
2017-06-26,-98.890625
2017-06-27,143.94921875
2017-06-28,-167.580078125
2017-06-29,62.6015625
2017-06-30,129.638671875
2017-07-03,-1.099609375
2017-07-05,-158.130859375
2017-07-06,94.30078125
2017-07-07,-5.8203125
2017-07-10,0.55078125
2017-07-11,123.0703125
2017-07-12,20.94921875
2017-07-13,84.650390625
2017-07-14,-8.01953125
2017-07-17,-54.990234375
2017-07-18,66.01953125
2017-07-19,-28.970703125
2017-07-20,-31.708984375
2017-07-21,-66.900390625
2017-07-24,100.259765625
2017-07-25,97.580078125
2017-07-26,85.541015625
2017-07-27,33.759765625
2017-07-28,60.80859375
2017-07-31,72.80078125
2017-08-01,52.3203125
2017-08-02,9.859375
2017-08-03,66.7109375
2017-08-04,25.609375
2017-08-07,-33.080078125
2017-08-08,-36.640625
2017-08-09,-204.689453125
2017-08-10,14.310546875
2017-08-11,135.390625
2017-08-14,5.279296875
2017-08-15,25.87890625
2017-08-16,-274.138671875
2017-08-17,-76.220703125
2017-08-18,29.240234375
2017-08-21,196.140625
2017-08-22,-87.80078125
2017-08-23,-28.689453125
2017-08-24,30.26953125
2017-08-25,-5.26953125
2017-08-28,56.96875
2017-08-29,27.060546875
2017-08-30,55.669921875
2017-08-31,39.4609375
2017-09-01,-234.25
2017-09-05,54.330078125
2017-09-06,-22.861328125
2017-09-07,13.009765625
2017-09-08,259.580078125
2017-09-11,61.490234375
2017-09-12,39.3203125
2017-09-13,45.30078125
2017-09-14,64.859375
2017-09-15,63.009765625
2017-09-18,39.451171875
2017-09-19,41.7890625
2017-09-20,-53.359375
2017-09-21,-9.640625
2017-09-22,-53.5
2017-09-25,-11.76953125
2017-09-26,56.390625
2017-09-27,40.48828125
2017-09-28,23.890625
2017-09-29,152.509765625
2017-10-02,84.0703125
2017-10-03,19.970703125
2017-10-04,113.75
2017-10-05,-1.720703125
2017-10-06,-12.599609375
2017-10-09,69.609375
2017-10-10,42.2109375
2017-10-11,-31.880859375
2017-10-12,30.7109375
2017-10-13,85.240234375
2017-10-16,40.478515625
2017-10-17,160.16015625
2017-10-18,5.439453125
2017-10-19,165.591796875
2017-10-20,-54.669921875
2017-10-23,167.798828125
2017-10-24,-112.298828125
2017-10-25,71.3984375
2017-10-26,33.330078125
2017-10-27,-85.44921875
2017-10-30,28.5
2017-10-31,57.76953125
2017-11-01,81.25
2017-11-02,22.9296875
2017-11-03,9.23046875
2017-11-06,8.810546875
2017-11-07,6.12890625
2017-11-08,-101.419921875
2017-11-09,-39.728515625
2017-11-10,17.48828125
2017-11-13,-30.228515625
2017-11-14,-138.19140625
2017-11-15,187.080078125
2017-11-16,-100.119140625
2017-11-17,72.08984375
2017-11-20,160.5
2017-11-21,-64.650390625
2017-11-22,31.810546875
2017-11-24,22.7890625
2017-11-27,255.931640625
2017-11-28,103.96875
2017-11-29,331.669921875
2017-11-30,-40.759765625
2017-12-01,58.4609375
2017-12-04,-109.41015625
2017-12-05,-39.73046875
2017-12-06,70.5703125
2017-12-07,117.6796875
2017-12-08,56.869140625
2017-12-11,118.771484375
2017-12-12,80.62890625
