date,sentiment_score,sentiment_label
2020-12-08,0.5423,Positive
2020-12-09,0.20111666666666664,Positive
2020-12-10,0.4215,Positive
2020-12-11,0.525,Positive
2020-12-15,0.2183333333333333,Positive
2020-12-16,0.3587,Positive
2020-12-17,0.5083666666666667,Positive
2020-12-18,0.11779999999999997,Positive
2020-12-21,0.24185999999999996,Positive
2020-12-23,0.07955,Positive
2020-12-24,0.2416,Positive
2020-12-28,0.34226666666666666,Positive
2020-12-29,0.0,Neutral
2020-12-30,0.3182,Positive
2020-12-31,0.15783333333333335,Positive
2021-01-04,0.16297499999999998,Positive
2021-01-05,0.2023,Positive
2021-01-07,-0.019250000000000017,Neutral
2021-01-11,0.0772,Positive
2021-01-12,-0.01779,Neutral
2021-01-13,0.0386,Neutral
2021-01-16,0.31845,Positive
2021-01-17,-0.3612,Negative
2021-01-19,0.08895000000000002,Positive
2021-01-21,0.0,Neutral
2021-01-22,0.0,Neutral
2021-01-23,0.296,Positive
2021-01-24,0.6124,Positive
2021-01-25,0.0258,Neutral
2021-01-26,0.0086,Neutral
2021-01-27,0.21075,Positive
2021-01-29,0.0,Neutral
2021-02-01,0.4397,Positive
2021-02-02,0.0,Neutral
2021-02-03,0.0,Neutral
2021-02-05,0.0,Neutral
2021-02-08,0.0,Neutral
2021-02-09,0.0,Neutral
2021-02-10,0.0,Neutral
2021-02-11,0.07144999999999999,Positive
2021-02-12,0.0,Neutral
2021-02-13,0.2023,Positive
2021-02-14,0.0,Neutral
2021-02-15,0.0,Neutral
2021-02-16,0.0,Neutral
2021-02-17,0.08895,Positive
2021-02-18,0.0,Neutral
2021-02-22,-0.148,Negative
2021-02-23,0.0,Neutral
2021-02-24,-0.2732,Negative
2021-02-25,-0.11225999999999998,Negative
2021-02-26,0.0,Neutral
2021-02-28,0.19063333333333332,Positive
2021-03-01,0.019227586206896546,Neutral
2021-03-02,0.12173809523809524,Positive
2021-03-03,-0.04666666666666667,Neutral
2021-03-04,0.18988333333333332,Positive
2021-03-05,0.07432,Positive
2021-03-07,0.0,Neutral
2021-03-08,0.09990000000000002,Positive
2021-03-09,0.25225,Positive
2021-03-10,0.38561999999999996,Positive
2021-03-12,0.12079999999999999,Positive
2021-03-16,-0.4767,Negative
2021-03-17,-0.4355,Negative
2021-03-18,0.09545,Positive
2021-03-19,0.16935,Positive
2021-03-20,0.0,Neutral
2021-03-21,0.0,Neutral
2021-03-22,0.165275,Positive
2021-03-23,-0.1602,Negative
2021-03-24,0.0,Neutral
2021-03-25,-0.014762499999999998,Neutral
2021-03-26,0.06298571428571428,Positive
2021-03-27,-0.34,Negative
2021-03-29,0.7506,Positive
2021-03-31,0.0,Neutral
2021-04-04,0.2023,Positive
2021-04-06,0.1661,Positive
2021-04-07,-0.06271428571428572,Negative
2021-04-08,0.08895,Positive
2021-04-09,0.0,Neutral
2021-04-12,0.0,Neutral
2021-04-13,0.22010000000000002,Positive
2021-04-14,0.6369,Positive
2021-04-19,0.0,Neutral
