Date,sentiment_score
2020-07-18,-0.0665333333333333
2020-07-19,0.4706
2020-07-20,0.08834
2020-07-21,0.242245
2020-07-22,0.09041666666666665
2020-07-23,-0.1863
2020-07-24,-0.0031000000000000003
2020-07-25,-0.04785
2020-07-26,0.5267
2020-07-27,0.19747
2020-07-28,0.24265
2020-07-29,0.0951499999999999
2020-07-30,-0.13634166666666664
2020-07-31,-0.0362199999999999
2020-08-01,0.50515
2020-08-02,0.2370499999999999
2020-08-03,0.09813
2020-08-04,0.13605
2020-08-05,0.3755166666666667
2020-08-06,-0.09628
2020-08-07,-0.0697375
2020-08-08,0.20362
2020-08-09,0.24106
2020-08-10,0.09538333333333335
2020-08-11,-0.060575
2020-08-12,0.6152624999999999
2020-08-13,0.17483000000000007
2020-08-14,0.3634
2020-08-15,-0.0020999999999999
2020-08-16,0.6486416666666667
2020-08-17,0.1298375
2020-08-18,0.22139999999999999
2020-08-19,0.2412
2020-08-20,0.30585
2020-08-21,0.5060625000000001
2020-08-22,0.109125
2020-08-23,0.3852666666666666
2020-08-24,0.208275
2020-08-25,0.40322083333333336
2020-08-26,0.6566875000000001
2020-08-27,0.618375
2020-08-28,0.77385
2020-08-29,0.3825
2020-08-30,0.13232
2020-08-31,0.41742045454545457
2020-09-01,0.036277536231884094
2020-09-02,0.23345178571428565
2020-09-03,0.004750000000000004
2020-09-04,0.45254166666666673
2020-09-05,0.05894999999999995
2020-09-06,0.27504
2020-09-07,0.25536250000000005
2020-09-08,0.426705
2020-09-09,0.09489999999999996
2020-09-10,-0.06412499999999999
2020-09-11,0.32675
2020-09-12,0.5501750000000001
2020-09-13,-0.366425
2020-09-14,0.194575
2020-09-15,0.5610625
2020-09-16,0.09902500000000006
2020-09-17,0.2519566666666666
2020-09-18,-0.0700875
2020-09-19,0.3607625
2020-09-20,-0.0232199999999999
2020-09-21,-0.17414000000000002
2020-09-22,0.304825
2020-09-23,0.20478333333333326
2020-09-24,0.49305
2020-09-25,-0.05765000000000001
2020-09-26,-0.12456666666666663
2020-09-27,0.5990375
2020-09-28,0.31309999999999993
2020-09-29,0.18147777777777768
2020-09-30,0.4017708333333333
2020-10-01,0.17101249999999996
2020-10-02,0.317575
2020-10-03,0.29450000000000004
2020-10-04,0.2083
2020-10-05,0.8177166666666666
2020-10-06,0.27157
2020-10-07,0.35662916666666666
2020-10-08,0.27065999999999996
2020-10-09,0.1764
2020-10-10,0.50894
2020-10-11,-0.078325
2020-10-12,-0.111125
2020-10-13,0.356775
2020-10-14,0.12938645833333334
2020-10-15,0.19654125
2020-10-16,0.6622625
2020-10-17,0.22707499999999997
2020-10-18,-0.2767333333333333
2020-10-19,0.19389583333333327
2020-10-20,0.20117916666666663
2020-10-21,0.06479999999999998
2020-10-22,0.24400833333333333
2020-10-23,0.22671666666666668
2020-10-24,-0.1747
2020-10-25,0.3745
2020-10-26,0.33865333333333325
2020-10-27,0.3402458333333333
2020-10-28,0.2471
